id_number,org_size_1_99,org_size_100_499,org_size_500_999,org_size_1000_4999,org_size_greaterthan_5000,Has_Website,Number_of_Vehicles__c,Segment_E,SegmentE3,SegmentA1,SegmentA2,US_Country,CA_Country,Industry,billingstatecode,total_actions,first_action_date,last_action_date,click_count,reply_count,email_interaction_length_days,action_count_lag_1,action_count_lag_2,action_count_lag_5,action_count_lag_7,action_count_rolling_avg_7,rolling_std_7,rolling_median_7,weekly_interaction_rate,cumulative_action_count,cumulative_click_count,cumulative_reply_count,days_since_last_action,avg_time_between_interactions,D&B_Score,target_met
76,0,0,0,0,0,1,17.0,0,0,0,1,1,0,WholesaleTrade,SC,3,2020-05-14 17:16:05+00:00,2020-10-12 14:29:45+00:00,0,3,150,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,67.00509770603229,75.0,HIGH,1
120,0,0,1,0,0,1,50.0,0,1,0,0,1,0,WholesaleTrade,MO,7,2021-10-04 19:22:01+00:00,2021-10-08 15:53:47+00:00,1,6,3,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.0,1.0,0.0,1.0,1.0,4.0,0.5714285714285714,3.4285714285714284,7.573613302585265,0.3333333333333333,HIGH,1
127,1,0,0,0,0,1,50.0,0,0,0,1,0,1,WholesaleTrade,ON,49,2020-06-22 20:42:06+00:00,2024-03-05 13:22:36+00:00,8,41,1351,0.9795918367346939,0.9591836734693877,0.8979591836734694,0.8571428571428571,1.0,0.0,1.0,1.0,25.0,3.2653061224489797,21.73469387755102,28.30643455343055,27.833333333333332,HIGH,1
156,0,0,0,0,0,1,2200.0,1,0,0,0,1,0,WholesaleTrade,VA,8,2021-05-12 18:17:46+00:00,2024-03-06 16:42:28+00:00,0,8,1028,0.875,0.75,0.375,0.125,1.0,0.0,1.0,1.0,4.5,0.0,4.5,134.6269116397621,146.57142857142858,HIGH,1
188,1,0,0,0,0,0,23.0,0,1,0,0,1,0,WholesaleTrade,OH,5,2021-12-09 17:58:57+00:00,2022-03-29 15:47:42+00:00,1,4,109,0.8,0.6,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.8,2.2,31.80305862361937,27.0,HIGH,1
243,1,0,0,0,0,1,15.0,0,0,1,0,1,0,WholesaleTrade,FL,10,2021-07-01 15:26:13+00:00,2023-03-09 19:23:40+00:00,2,8,616,0.9,0.8,0.5,0.3,1.0,0.0,1.0,1.0,5.5,1.0,4.5,66.4015293118097,68.11111111111111,HIGH,1
260,1,0,0,0,0,1,21.0,0,0,1,0,1,0,WholesaleTrade,NJ,14,2021-03-19 14:01:42+00:00,2023-08-18 17:32:39+00:00,5,9,882,0.9285714285714286,0.8571428571428571,0.6428571428571429,0.5,1.0,0.0,1.0,1.0,7.5,2.642857142857143,4.857142857142857,66.3582352227212,67.53846153846153,HIGH,1
272,0,0,0,0,0,0,48.0,0,1,0,0,1,0,WholesaleTrade,NJ,17,2021-01-14 16:15:10+00:00,2024-02-28 18:49:33+00:00,1,16,1140,0.9411764705882353,0.8823529411764706,0.7058823529411765,0.5882352941176471,1.0,0.0,1.0,1.0,9.0,0.5294117647058824,8.470588235294118,69.82442900694687,71.0,HIGH,1
274,1,0,0,0,0,0,50.0,0,0,0,1,1,0,WholesaleTrade,IA,35,2022-03-28 17:04:35+00:00,2023-10-24 20:10:22+00:00,21,14,575,0.9714285714285714,0.9428571428571428,0.8571428571428571,0.8,1.0,0.0,1.0,1.0,18.0,8.942857142857143,9.057142857142857,17.371865517659913,16.38235294117647,HIGH,1
301,1,0,0,0,0,1,37.0,0,0,0,1,0,1,WholesaleTrade,QC,1,2023-10-31 17:51:04+00:00,2023-10-31 17:51:04+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,HIGH,1
310,1,0,0,0,0,1,213.0,0,1,0,0,1,0,WholesaleTrade,LA,66,2021-03-19 15:48:47+00:00,2023-07-26 18:02:35+00:00,1,65,859,0.9848484848484849,0.9696969696969697,0.9242424242424242,0.8939393939393939,1.0,0.0,1.0,1.0,33.5,0.18181818181818182,33.31818181818182,13.394171107849953,12.815384615384616,HIGH,1
312,0,0,0,0,0,1,127.0,0,0,0,1,1,0,WholesaleTrade,IL,37,2022-03-01 23:41:52+00:00,2023-12-04 15:22:07+00:00,3,34,642,0.972972972972973,0.9459459459459459,0.8648648648648649,0.8108108108108109,1.0,0.0,1.0,1.0,19.0,0.9459459459459459,18.054054054054053,18.29771062481343,17.38888888888889,HIGH,1
314,0,0,1,0,0,1,175.0,0,1,0,0,1,0,WholesaleTrade,NJ,27,2021-10-20 19:42:07+00:00,2024-02-27 22:22:49+00:00,11,16,860,0.9629629629629629,0.9259259259259259,0.8148148148148148,0.7407407407407407,1.0,0.0,1.0,1.0,14.0,7.148148148148148,6.851851851851852,33.37093678215174,32.69230769230769,HIGH,1
315,0,0,0,0,1,1,2800.0,1,0,0,0,1,0,WholesaleTrade,VA,20,2021-06-25 19:45:40+00:00,2022-11-10 13:29:42+00:00,2,18,502,0.95,0.9,0.75,0.65,1.0,0.0,1.0,1.0,10.5,1.85,8.65,27.300764655904846,26.05263157894737,HIGH,1
423,1,0,0,0,0,1,3.0,0,0,0,0,1,0,WholesaleTrade,AZ,1,2020-12-07 17:54:46+00:00,2020-12-07 17:54:46+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
718,1,0,0,0,0,1,10.0,0,0,0,0,1,0,WholesaleTrade,CA,1,2022-03-30 17:54:00+00:00,2022-03-30 17:54:00+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
759,1,0,0,0,0,1,15.0,0,0,0,0,1,0,WholesaleTrade,CA,2,2020-09-18 17:36:51+00:00,2020-09-21 16:21:08+00:00,0,2,2,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,26.50764655904843,2.0,HIGH,0
808,1,0,0,0,0,1,31.0,0,0,0,1,1,0,WholesaleTrade,CA,1,2020-08-24 18:35:19+00:00,2020-08-24 18:35:19+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,HIGH,0
855,0,0,0,0,0,1,33.0,0,0,0,1,1,0,WholesaleTrade,CA,1,2021-02-19 18:28:54+00:00,2021-02-19 18:28:54+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
1300,1,0,0,0,0,1,50.0,0,0,0,1,1,0,WholesaleTrade,IL,2,2021-04-20 18:23:26+00:00,2021-04-20 18:23:26+00:00,1,1,0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.5,1.0,25.50764655904843,0.0,HIGH,0
1403,1,0,0,0,0,1,21.0,0,0,0,0,1,0,WholesaleTrade,KS,1,2021-06-15 13:51:23+00:00,2021-06-15 13:51:23+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,HIGH,0
1508,1,0,0,0,0,1,14.0,0,0,0,0,1,0,WholesaleTrade,MA,2,2021-08-30 15:28:05+00:00,2021-10-21 15:04:30+00:00,1,1,51,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.5,1.0,51.007646559048425,51.0,HIGH,0
1646,1,0,0,0,0,1,21.0,0,0,0,0,1,0,WholesaleTrade,MI,3,2020-10-14 23:15:19+00:00,2021-05-07 13:15:55+00:00,1,2,204,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,85.00509770603229,102.0,HIGH,0
2198,1,0,0,0,0,1,23.0,0,0,0,0,1,0,WholesaleTrade,OH,1,2023-03-24 14:29:06+00:00,2023-03-24 14:29:06+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
2226,0,0,0,0,0,1,170.0,0,1,0,0,1,0,WholesaleTrade,OH,44,2022-04-12 13:52:25+00:00,2022-04-25 15:50:27+00:00,44,0,13,0.9772727272727273,0.9545454545454546,0.8863636363636364,0.8409090909090909,1.0,0.0,1.0,1.0,22.5,22.5,0.0,1.386711207229474,0.23255813953488372,HIGH,0
2439,1,0,0,0,0,1,20.0,0,0,0,0,1,0,WholesaleTrade,PA,3,2023-06-24 02:31:09+00:00,2023-10-09 19:40:07+00:00,0,3,107,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,52.67176437269895,53.5,HIGH,0
2796,0,0,0,1,0,1,158.0,1,0,0,0,1,0,WholesaleTrade,TX,8,2021-05-18 12:26:11+00:00,2023-01-17 16:57:55+00:00,2,6,609,0.875,0.75,0.375,0.125,1.0,0.0,1.0,1.0,4.5,1.0,3.5,82.37691163976211,86.85714285714286,HIGH,0
2797,0,0,0,0,0,1,300.0,0,1,0,0,1,0,WholesaleTrade,TX,4,2020-04-06 19:34:26+00:00,2021-08-26 13:46:32+00:00,1,3,506,0.75,0.5,0.0,0.0,1.0,0.0,1.0,1.0,2.5,0.5,2.0,139.00382327952423,168.33333333333334,HIGH,0
2998,1,0,0,0,0,1,28.0,0,0,0,0,1,0,WholesaleTrade,WI,1,2023-10-04 15:07:19+00:00,2023-10-04 15:07:19+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
3010,0,0,0,0,0,1,35.0,0,0,0,1,1,0,WholesaleTrade,WI,1,2020-08-11 20:23:48+00:00,2020-08-11 20:23:48+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,HIGH,0
174,0,0,0,0,0,1,66.0,0,0,0,1,1,0,Utilities,UT,12,2020-12-21 14:28:46+00:00,2024-02-28 18:37:13+00:00,4,8,1164,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.4166666666666667,1.0,0.0,1.0,1.0,6.5,2.75,3.75,100.8346077598414,105.36363636363636,HIGH,1
178,0,0,0,0,0,1,90.0,1,0,0,0,1,0,Utilities,TX,5,2020-03-27 18:49:54+00:00,2020-06-22 15:25:40+00:00,1,4,86,0.8,0.6,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.8,2.2,27.20305862361937,21.25,HIGH,1
269,1,0,0,0,0,1,38.0,0,0,0,1,0,1,Utilities,ON,14,2023-06-07 17:22:48+00:00,2024-02-15 17:04:22+00:00,1,13,252,0.9285714285714286,0.8571428571428571,0.6428571428571429,0.5,1.0,0.0,1.0,1.0,7.5,0.21428571428571427,7.285714285714286,21.358235222721202,19.076923076923077,HIGH,1
293,1,0,0,0,0,1,1.2412536235234216e+16,0,1,0,0,1,0,Utilities,SC,8,2021-03-26 12:31:46+00:00,2024-02-15 14:10:18+00:00,2,6,1056,0.875,0.75,0.375,0.125,1.0,0.0,1.0,1.0,4.5,1.875,2.625,138.0019116397621,150.42857142857142,HIGH,1
1654,1,0,0,0,0,1,24.0,0,0,0,0,1,0,Utilities,MI,2,2020-08-04 18:43:51+00:00,2020-09-25 19:32:49+00:00,1,1,52,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,1.0,0.5,51.507646559048425,52.0,HIGH,0
1717,1,0,0,0,0,1,20.0,0,0,0,0,1,0,Utilities,MN,2,2021-02-08 15:22:46+00:00,2021-02-11 16:32:41+00:00,0,2,3,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,27.00764655904843,3.0,HIGH,0
1779,1,0,0,0,0,1,50.0,0,0,0,1,1,0,Utilities,MO,1,2023-08-29 18:33:58+00:00,2023-08-29 18:33:58+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
1815,1,0,0,0,0,1,15.0,0,0,0,0,1,0,Utilities,MT,1,2020-06-25 20:30:20+00:00,2020-06-25 20:30:20+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
1941,1,0,0,0,0,1,4.0,0,0,1,0,1,0,Utilities,NJ,1,2021-06-09 17:36:38+00:00,2021-06-09 17:36:38+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
2130,1,0,0,0,0,1,50.0,0,0,0,1,1,0,Utilities,NY,1,2021-03-03 18:33:53+00:00,2021-03-03 18:33:53+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
2690,1,0,0,0,0,0,8.0,0,0,0,0,1,0,Utilities,TX,1,2021-11-02 18:29:32+00:00,2021-11-02 18:29:32+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
