id_number,org_size_1_99,org_size_100_499,org_size_500_999,org_size_1000_4999,org_size_greaterthan_5000,Has_Website,Number_of_Vehicles__c,Segment_E,SegmentE3,SegmentA1,SegmentA2,US_Country,CA_Country,Industry,billingstatecode,total_engagements,first_engagement_date,last_engagement_date,engagement_length_days,engagement_count_lag_1,engagement_count_lag_2,engagement_count_lag_5,engagement_count_lag_7,engagement_count_rolling_avg_7,rolling_std_7,rolling_median_7,weekly_engagement_rate,cumulative_engagement_count,days_since_last_engagement,prev_engagement_type_0,prev_engagement_type_Campaign - Mailer,prev_engagement_type_Campaign - Other,prev_engagement_type_Campaign - Referral Program,prev_engagement_type_Campaign - Webinar,prev_engagement_type_Event - Roadshow,prev_engagement_type_Field Event,prev_engagement_type_Field Marketing,prev_engagement_type_GC,prev_engagement_type_Inbound Leads,prev_engagement_type_Partners,prev_engagement_type_SB,prev_engagement_type_webpage visit from ads,prev_engagement_type_webpage visits,avg_time_between_engagements,most_common_engagement_type_Campaign - Mailer,most_common_engagement_type_Campaign - Other,most_common_engagement_type_Campaign - Referral Program,most_common_engagement_type_Campaign - Webinar,most_common_engagement_type_Field Event,most_common_engagement_type_GC,most_common_engagement_type_Inbound Leads,most_common_engagement_type_Partners,most_common_engagement_type_webpage visit from ads,most_common_engagement_type_webpage visits,D&B_Score,target_met
76,0,0,0,0,0,1,17.0,0,0,0,1,1,0,WholesaleTrade,SC,2,2022-04-14,2022-12-01,231,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,115.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,231.0,0,0,0,0,0,0,0,0,1,0,HIGH,1
120,0,0,1,0,0,1,50.0,0,1,0,0,1,0,WholesaleTrade,MO,62,2021-05-05,2024-01-25,995,0.9838709677419355,0.967741935483871,0.9193548387096774,0.8870967741935484,0.9032258064516129,0.0,0.9032258064516129,0.9032258064516129,31.5,16.048387096774192,1,0,0,0,0,0,0,0,1,1,0,0,1,1,16.311475409836067,0,0,0,0,0,0,0,0,1,0,HIGH,1
127,1,0,0,0,0,1,50.0,0,0,0,1,0,1,WholesaleTrade,ON,18,2021-04-26,2024-02-26,1036,0.9444444444444444,0.8888888888888888,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,9.5,57.55555555555556,1,0,0,0,0,0,0,0,0,0,0,0,1,0,60.94117647058823,0,0,0,0,0,0,0,0,1,0,HIGH,1
156,0,0,0,0,0,1,2200.0,1,0,0,0,1,0,WholesaleTrade,VA,21,2021-04-23,2024-01-18,1000,0.9523809523809523,0.9047619047619048,0.7619047619047619,0.6666666666666666,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,11.0,47.61904761904762,1,1,0,0,0,0,1,0,0,1,0,0,1,1,50.0,0,0,0,0,0,0,0,0,1,0,HIGH,1
182,0,0,0,0,0,1,64.0,0,0,0,1,1,0,WholesaleTrade,IN,23,2021-12-03,2024-02-26,815,0.9565217391304348,0.9130434782608695,0.782608695652174,0.6956521739130435,0.7391304347826086,0.0,0.7391304347826086,0.7391304347826086,12.0,35.43478260869565,1,0,1,0,1,0,0,0,0,1,0,0,1,1,37.04545454545455,0,0,0,0,0,0,0,0,1,0,HIGH,1
188,1,0,0,0,0,0,23.0,0,1,0,0,1,0,WholesaleTrade,OH,11,2021-12-17,2022-08-09,235,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,6.0,21.363636363636363,1,0,0,0,0,0,1,0,0,0,0,0,1,1,23.5,0,0,0,0,0,0,0,0,1,0,HIGH,1
243,1,0,0,0,0,1,15.0,0,0,1,0,1,0,WholesaleTrade,FL,68,2021-05-14,2023-08-28,836,0.9852941176470589,0.9705882352941176,0.9264705882352942,0.8970588235294118,0.9117647058823529,0.0,0.9117647058823529,0.9117647058823529,34.5,12.294117647058824,1,1,0,0,1,0,0,0,0,1,0,0,1,1,12.477611940298507,0,0,0,0,0,0,0,0,1,0,HIGH,1
260,1,0,0,0,0,1,21.0,0,0,1,0,1,0,WholesaleTrade,NJ,5,2022-09-29,2023-04-27,210,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,52.5,0,0,0,0,0,0,0,0,1,0,HIGH,1
272,0,0,0,0,0,0,48.0,0,1,0,0,1,0,WholesaleTrade,NJ,1,2023-02-27,2023-02-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,1,0,0,0,0,0,0,0,0,0,HIGH,1
274,1,0,0,0,0,0,50.0,0,0,0,1,1,0,WholesaleTrade,IA,410,2021-06-02,2023-11-10,891,0.9975609756097561,0.9951219512195122,0.9878048780487805,0.9829268292682927,0.9853658536585366,0.0,0.9853658536585366,0.9853658536585366,205.5,2.1731707317073172,1,0,1,1,1,0,0,0,0,1,0,0,1,1,2.1784841075794623,0,0,0,0,0,0,0,0,1,0,HIGH,1
310,1,0,0,0,0,1,213.0,0,1,0,0,1,0,WholesaleTrade,LA,439,2021-11-16,2024-03-06,841,0.9977220956719818,0.9954441913439636,0.9886104783599089,0.9840546697038725,0.9863325740318907,0.0,0.9863325740318907,0.9863325740318907,220.0,1.9157175398633257,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1.9200913242009132,0,0,0,0,0,0,0,0,1,0,HIGH,1
312,0,0,0,0,0,1,127.0,0,0,0,1,1,0,WholesaleTrade,IL,76,2021-05-29,2024-01-23,969,0.9868421052631579,0.9736842105263158,0.9342105263157895,0.9078947368421053,0.9210526315789473,0.0,0.9210526315789473,0.9210526315789473,38.5,12.75,1,0,0,0,1,0,0,0,0,0,0,0,1,1,12.92,0,0,0,0,0,0,0,0,1,0,HIGH,1
314,0,0,1,0,0,1,175.0,0,1,0,0,1,0,WholesaleTrade,NJ,136,2021-05-13,2024-02-28,1021,0.9926470588235294,0.9852941176470589,0.9632352941176471,0.9485294117647058,0.9558823529411765,0.0,0.9558823529411765,0.9558823529411765,68.5,7.507352941176471,1,1,1,0,1,0,0,1,1,1,0,0,1,1,7.562962962962963,0,0,0,0,0,0,0,0,1,0,HIGH,1
315,0,0,0,0,1,1,2800.0,1,0,0,0,1,0,WholesaleTrade,VA,290,2021-04-24,2024-03-06,1047,0.996551724137931,0.993103448275862,0.9827586206896551,0.9758620689655172,0.9793103448275862,0.0,0.9793103448275862,0.9793103448275862,145.5,3.610344827586207,1,1,1,0,1,0,1,1,1,1,0,1,1,1,3.6228373702422147,0,0,0,0,0,0,0,0,1,0,HIGH,1
728,0,0,0,0,0,1,10.0,0,0,0,0,1,0,WholesaleTrade,CA,1,2022-07-07,2022-07-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,1,0,0,0,0,0,0,0,0,0,HIGH,0
808,1,0,0,0,0,1,31.0,0,0,0,1,1,0,WholesaleTrade,CA,1,2022-03-21,2022-03-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
1058,1,0,0,0,0,1,25.0,0,0,0,0,1,0,WholesaleTrade,FL,6,2022-05-04,2023-08-16,469,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,3.5,78.16666666666667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,93.8,0,0,0,0,0,0,0,0,1,0,HIGH,0
1196,1,0,0,0,0,1,22.0,0,0,0,0,1,0,WholesaleTrade,IA,1,2023-10-11,2023-10-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,1,0,0,0,HIGH,0
1300,1,0,0,0,0,1,50.0,0,0,0,1,1,0,WholesaleTrade,IL,7,2021-07-15,2023-10-16,823,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,4.0,117.57142857142857,1,0,0,0,0,0,0,0,0,0,0,0,1,0,137.16666666666666,0,0,0,0,0,0,0,0,1,0,HIGH,0
1403,1,0,0,0,0,1,21.0,0,0,0,0,1,0,WholesaleTrade,KS,6,2021-09-13,2023-11-15,793,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,3.5,132.16666666666666,1,0,0,0,0,0,0,0,0,1,0,0,1,0,158.6,0,0,0,0,0,0,0,0,1,0,HIGH,0
1867,0,0,0,0,0,1,24.0,0,0,0,0,1,0,WholesaleTrade,NC,8,2021-11-19,2023-08-02,621,0.875,0.75,0.375,0.125,0.25,0.0,0.25,0.25,4.5,77.625,1,0,0,0,0,0,0,0,0,1,0,0,1,0,88.71428571428571,0,0,0,0,0,0,0,0,1,0,HIGH,0
